business_name,address,zip_code
Central Teamsters Local Union 249,"4701 BUTLER ST, Pittsburgh, PA 15201",15201
SAVOY URBAN BISTRO & LOUNGE,"2623 PENN AVE, Pittsburgh, PA 15222",15222
SONOMA GRILLE INC,"947 PENN AVE, Pittsburgh, PA 15222",15222
NORTH SHORE DELI,"539 E OHIO ST, Pittsburgh, PA 15212",15212
JR'S BAR,"520 E OHIO ST, Pittsburgh, PA 15212",15212
ISLAND HOSPITALITY MANAGEMENT III INC,"260 NORTH SHORE DR, Pittsburgh, PA 15212",15212
RIGGS RESTAURANT & LOUNGE,"1206 BRIGHTON RD, Pittsburgh, PA 15233",15233
BANGAL KABAB HOUSE & RESTAURANT,"320 YORK Way, Pittsburgh, PA 15213",15213
GREENFIELD VET HOSPITAL,"611 GREENFIELD AVE, Pittsburgh, PA 15207",15207
SATALIO'S INC RESTAURANT,"27 BAILEY AVE, Pittsburgh, PA 15211",15211
BARTLETT PRODUCTS LLC,"5130 PENN AVE, Pittsburgh, PA 15224",15224
IBIZA TAPAS & WINE BAR,"2228 E CARSON ST, Pittsburgh, PA 15203",15203
"Hard Rock Cafe International (STP), Inc.","230 W STATION SQUARE DR, Pittsburgh, PA 15219",15219
CAFE CRAVINGS,"447 SULGRAVE RD, Pittsburgh, PA 15211",15211
FU LAI CHINESE RESTAURANT,"529 PENN AVE, Pittsburgh, PA 15222",15222
BROWN BAG DELI,"112 WASHINGTON PL, Pittsburgh, PA 15219",15219
EDDIE'S PIZZA HAUS,"1740 CHISLETT ST, Pittsburgh, PA 15206",15206
BIG JIM'S RESTAURANT,"201 SALINE ST, Pittsburgh, PA 15207",15207
BAKERY SQUARE,"114 BAKERY SQUARE BLVD, Pittsburgh, PA 15206",15206
CELLONE BAKERY INC,"663 NAPOR BLVD, Pittsburgh, PA 15205",15205
TOM FRIDAY'S MARKET,"3639 CALIFORNIA AVE, Pittsburgh, PA 15212",15212
APPLE NINE HOSPITALITY MANAGEMENT INC,"3315 HAMLET ST, Pittsburgh, PA 15213",15213
ALLADIN'S EATERY,"5878 FORBES AVE, Pittsburgh, PA 15217",15217
FOX'S PIZZA DEN,"6 BAILEY AVE, Pittsburgh, PA 15211",15211
"BISTRO TO GO, LLC","417 E OHIO ST, Pittsburgh, PA 15212",15212
ARMAND'S BAR & LOUNGE,"4755 LIBERTY AVE, Pittsburgh, PA 15224",15224
LINDOS RESTAURANT,"947 WESTERN AVE, Pittsburgh, PA 15233",15233
THE MODERN CAFE INC,"910 GALVESTON AVE, Pittsburgh, PA 15233",15233
QDOBA MEXICAN GRILL,"2729 E CARSON ST, Pittsburgh, PA 15203",15203
THAI PLACE RESTAURANT,"1030 FREEPORT RD, Pittsburgh, PA 15238",15238
SCHWARTZ SANITARY SUPER MARKET,"1313 BINGHAM ST, Pittsburgh, PA 15203",15203
PRANTL'S BAKERY,"5525 WALNUT ST, Pittsburgh, PA 15232",15232
PRANTL'S BAKERY,"440 MARKET ST, Pittsburgh, PA 15222",15222
BUSINESS LICENSES - TRADER JOE'S #638,"6343 PENN AVE, Pittsburgh, PA 15206",15206
SQUIRREL HILL CAFE,"5802 FORBES AVE, Pittsburgh, PA 15217",15217
BARGAIN AUTO MART,"4501 BUTLER ST, Pittsburgh, PA 15201",15201
VOCELLI PIZZA/GREENFIELD,"4233 MURRAY AVE, Pittsburgh, PA 15217",15217
JAMES BARRY,"608 E WARRINGTON AVE, Pittsburgh, PA 15210",15210
RYAN'S PUB AND GRILL RESTAURANT,"607 S BRADDOCK AVE, Pittsburgh, PA 15221",15221
BLINKY'S NOBLE GRILL & BAR,"2350 NOBLESTOWN RD, Pittsburgh, PA 15205",15205
ORANGE CAFE,"4808 BAUM BLVD, Pittsburgh, PA 15213",15213
PICKLES PIZZA & SANDWICH EMPORIUM,"424 E OHIO ST, Pittsburgh, PA 15212",15212
BARBARA SCHELLHAAS,"707 EAST ST, Pittsburgh, PA 15212",15212
ANTHON'S BAKERY AND DELI RESTAURANT,"6007 PENN AVE, Pittsburgh, PA 15206",15206
DOMINIC'S PIZZA,"115 FEDERAL ST, Pittsburgh, PA 15212",15212
BURGER KING,"1820 E CARSON ST, Pittsburgh, PA 15203",15203
ENRICO'S TAZZA D'ORO CAFE,"1127 N HIGHLAND AVE, Pittsburgh, PA 15206",15206
CHILDREN'S HOSPITAL OF PITTSBURGH,"450 45TH ST, Pittsburgh, PA 15201",15201
THE BEER MARKET,"116 FEDERAL ST, Pittsburgh, PA 15212",15212
LAGONDOLA PIZZERIA & RESTAURANT,"4 MARKET SQ, Pittsburgh, PA 15222",15222
SZECHUAN EXPRESS CHINESE RESTAURANT,"125 OAKLAND AVE, Pittsburgh, PA 15213",15213
EAT N PARK HOSPITALITY,"1922 E CARSON ST, Pittsburgh, PA 15203",15203
EAT N PARK HOSPITALITY,"1816 MURRAY AVE, Pittsburgh, PA 15217",15217
EAT N PARK HOSPITALITY,"849 FREEPORT RD, Pittsburgh, PA 15238",15238
WHOLE FOOD MARKET,"5880 CENTRE AVE, Pittsburgh, PA 15206",15206
LEMONT RESTAURANT,"1114 GRANDVIEW AVE, Pittsburgh, PA 15211",15211
THUNDERBIRD CAFE,"4024 EDEN Way, Pittsburgh, PA 15201",15201
MITCHELL'S RESTAURANT,"304 ROSS ST, Pittsburgh, PA 15219",15219
NICHOLAS COFFEE CO,"22 MARKET SQ, Pittsburgh, PA 15222",15222
"HIAWATHA'S GRILL INC, HOTEL TERRACE HALL","2335 CENTRE AVE, Pittsburgh, PA 15219",15219
DUNKIN DONUTS,"5889 FORBES AVE, Pittsburgh, PA 15217",15217
PADDYCAKE BAKERY,"4763 LIBERTY AVE, Pittsburgh, PA 15224",15224
CAT CLINIC AND HOSPITAL,"5170 LIBERTY AVE, Pittsburgh, PA 15224",15224
GRAYBAR ELECTRIC CO,"900 RIDGE AVE, Pittsburgh, PA 15212",15212
KOREAN GARDEN RESTAURANT,"414 SEMPLE ST, Pittsburgh, PA 15213",15213
LE BREW HOUSE RESTAURANT & TAVERN,"2512 E CARSON ST, Pittsburgh, PA 15203",15203
DEE'S CAFE,"1314 E CARSON ST, Pittsburgh, PA 15203",15203
BAKERY SQUARE HOLDINGS LP,"6425 PENN AVE, Pittsburgh, PA 15206",15206
SHILOH STREET GRILL,"123 SHILOH ST, Pittsburgh, PA 15211",15211
