name,street_address,zip_code,latitude,longitude
OLYMPIA SHOPPING CTR DR AT S,,nan,40.321807,-79.835612
OLYMPIA PARK AND RIDE,,nan,40.322323,-79.834862
OLD WILLIAM PENN HWY OPP WIL,,nan,40.441478,-79.753554
OLD WILLIAM PENN HWY OPP SCO,,nan,40.441563,-79.751603
OLD WILLIAM PENN HWY OPP ROT,,nan,40.441176,-79.74749
OLD WILLIAM PENN HWY OPP GOO,,nan,40.443705,-79.757807
OLD WILLIAM PENN HWY OPP GLE,,nan,40.44068,-79.745569
OLD WILLIAM PENN HWY OPP BEA,,nan,40.440345,-79.742483
OLD WILLIAM PENN HWY OPP BAY,,nan,40.441702,-79.750071
OLD WILLIAM PENN HWY OPP #45,,nan,40.442823,-79.756361
OLD WILLIAM PENN HWY AT WILL,,nan,40.441365,-79.75385
OLD WILLIAM PENN HWY AT SCOT,,nan,40.441327,-79.751749
OLD WILLIAM PENN HWY AT ROTH,,nan,40.441102,-79.747792
OLD WILLIAM PENN HWY AT GOOD,,nan,40.443669,-79.757434
OLD WILLIAM PENN HWY AT GLEN,,nan,40.440817,-79.74523
OLD WILLIAM PENN HWY AT BEAT,,nan,40.440263,-79.742044
OLD WILLIAM PENN HWY AT #453,,nan,40.442896,-79.756134
OLD FREEPORT RD AT POST OFFI,,nan,40.488306,-79.875644
OLD FREEPORT RD AT FREEPORT,,nan,40.490122,-79.870014
OLD FREEPORT RD AT CHAPEL HA,,nan,40.487503,-79.879535
OLD FREEPORT RD AT #1380,,nan,40.488646,-79.872907
OLD ELIZABETH RD OPP WOODHIL,,nan,40.347744,-79.933451
OLD ELIZABETH RD OPP BLUEMON,,nan,40.347397,-79.936863
OLD ELIZABETH RD AT WOODHILL,,nan,40.347614,-79.933668
OLD ELIZABETH RD AT LEBANON,,nan,40.34807,-79.929262
OLD ELIZABETH RD AT BLUEMONT,,nan,40.347259,-79.937069
OLD CALIFORNIA AVE AT WOODLA,,nan,40.466719,-80.03404
OLD ABERS CREEK RD AT HOLIDA,,nan,40.466706,-79.705948
OHIO RIVER BLVD OPP SHILOH A,,nan,40.487824,-80.056614
OHIO RIVER BLVD OPP RIVERVIE,,nan,40.491819,-80.061601
OHIO RIVER BLVD OPP PENNSYLV,,nan,40.510965,-80.099851
OHIO RIVER BLVD OPP MONITOR,,nan,40.501436,-80.07546
OHIO RIVER BLVD OPP MEMORIAL,,nan,40.508863,-80.091181
OHIO RIVER BLVD OPP MCKEES R,,nan,40.479575,-80.043641
OHIO RIVER BLVD OPP LOCUST S,,nan,40.497759,-80.070004
OHIO RIVER BLVD OPP KILBUCK,,nan,40.517754,-80.131012
OHIO RIVER BLVD OPP KENDALL,,nan,40.486252,-80.054248
OHIO RIVER BLVD OPP HARRISON,,nan,40.500399,-80.073646
OHIO RIVER BLVD OPP EAT-N-PA,,nan,40.494325,-80.06429
OHIO RIVER BLVD OPP DICKSON,,nan,40.503526,-80.081212
OHIO RIVER BLVD OPP BRIGHTON,,nan,40.504769,-80.084775
OHIO RIVER BLVD AT WILLOW ST,,nan,40.510098,-80.094227
OHIO RIVER BLVD AT WALLISTON,,nan,40.511873,-80.103278
OHIO RIVER BLVD AT THRIFT ST,,nan,40.495163,-80.065799
OHIO RIVER BLVD AT SPRING AV,,nan,40.488854,-80.057581
OHIO RIVER BLVD AT SHILOH AV,,nan,40.487905,-80.056283
OHIO RIVER BLVD AT RIVERVIEW,,nan,40.491933,-80.061404
OHIO RIVER BLVD AT PENNSYLVA,,nan,40.511129,-80.09968
OHIO RIVER BLVD AT ORCHARD A,,nan,40.510563,-80.097953
OHIO RIVER BLVD AT MILLERTON,,nan,40.481512,-80.04591
OHIO RIVER BLVD AT MEMORIAL,,nan,40.508807,-80.090606
OHIO RIVER BLVD AT MCKEES RO,,nan,40.479093,-80.043566
OHIO RIVER BLVD AT MAPLE AVE,,nan,40.510398,-80.098161
OHIO RIVER BLVD AT LOCUST ST,,nan,40.497722,-80.069662
OHIO RIVER BLVD AT LAUREL AV,,nan,40.501957,-80.076177
OHIO RIVER BLVD AT KILBUCK S,,nan,40.517907,-80.130862
OHIO RIVER BLVD AT KENDALL A,,nan,40.486319,-80.053884
OHIO RIVER BLVD AT HAZELWOOD,,nan,40.512134,-80.103807
OHIO RIVER BLVD AT HARRISON,,nan,40.500462,-80.073341
OHIO RIVER BLVD AT FISK AVE,,nan,40.501408,-80.074883
OHIO RIVER BLVD AT EAT-N-PAR,,nan,40.494175,-80.064429
OHIO RIVER BLVD AT DICKSON A,,nan,40.503577,-80.080961
OHIO RIVER BLVD AT CAMP HORN,,nan,40.510313,-80.094461
OHIO RIVER BLVD AT BRIGHTON,,nan,40.504894,-80.084663
OHIO RIVER BLVD AT BIRMINGHA,,nan,40.499026,-80.071174
OHIO RIVER BLVD AT BIRMINGHA,,nan,40.499086,-80.071652
OHIO RIVER BLVD AT ALLEGHENY,,nan,40.511322,-80.101156
OHIO RIVER BLVD AT ALLEGHENY,,nan,40.511469,-80.100881
OHIO RIVER BLVD AT #4401,,nan,40.488673,-80.057827
OHIO AVE OPP WALL ST,,nan,40.317125,-79.889744
OHIO AVE OPP BROADWAY ST,,nan,40.319196,-79.8908
OHIO AVE AT WALL ST,,nan,40.317052,-79.889476
OHIO AVE AT BROADWAY ST,,nan,40.319035,-79.89061
OBERLIN ST OPP OAKDENE ST,,nan,40.466236,-79.889988
OBERLIN ST OPP LEMINGTON AVE,,nan,40.466924,-79.890045
OBERLIN ST AT OAKDENE ST FS,,nan,40.466284,-79.890313
OBERLIN ST AT MINGO ST,,nan,40.464834,-79.890155
OAKWOOD ST OPP KELLY ST,,nan,40.452804,-79.88521
OAKWOOD ST OPP INGLENOOK PL,,nan,40.450913,-79.884457
OAKWOOD ST OPP HAMILTON AVE,,nan,40.451646,-79.884637
OAKWOOD ST AT TIOGA ST,,nan,40.449285,-79.884244
OAKWOOD ST AT NIMICK PL,,nan,40.449814,-79.884176
OAKWOOD ST AT INGLENOOK PL F,,nan,40.450919,-79.884618
OAKWOOD ST AT HAMILTON AVE,,nan,40.451844,-79.884875
OAKWOOD ST AT FRANKSTOWN AVE,,nan,40.454948,-79.885824
OAKWOOD ST AT BENNETT ST,,nan,40.453884,-79.88554
OAKWOOD ST AT BENNETT ST,,nan,40.454183,-79.885862
OAKDENE ST OPP EVERTON ST,,nan,40.462459,-79.890797
OAKDENE ST AT STRANAHAN ST,,nan,40.46195,-79.890928
OAK HILL DR AT HYMAN PL,,nan,40.441301,-79.970122
OAK HILL DR AT ECKSTEIN PL,,nan,40.441537,-79.969955
OAK HILL DR AT BENTLEY DR,,nan,40.440147,-79.96988
NORTHGATE DR AT SPRINGFIELD,,nan,40.577885,-79.992186
NORTHGATE DR AT #9396,,nan,40.576581,-79.990536
NORTHGATE DR AT #9396,,nan,40.576608,-79.990968
NORTH VERSAILLES PARK AND RI,,nan,40.388068,-79.82337
NORTH HILLS VILLAGE TERMINUS,,nan,40.527724,-80.0084
NORTH HILLS VILLAGE AT TARGE,,nan,40.526135,-80.007472
NORTH HILLS VILLAGE AT BURLI,,nan,40.525221,-80.007135
NORTH HILLS VILLAGE AT BEST,,nan,40.523894,-80.006774
NORTH COMMONS AT WEST COMMON,,nan,40.453707,-80.007756
NORTH AVE OPP SANDUSKY ST,,nan,40.455707,-80.004612
NORTH AVE OPP PALO ALTO ST,,nan,40.454571,-80.010589
NORTH AVE OPP MONTEREY ST,,nan,40.454174,-80.012659
NORTH AVE AT SANDUSKY ST,,nan,40.456107,-80.003731
NORTH AVE AT REDDOUR ST,,nan,40.455368,-80.007505
NORTH AVE AT PALO ALTO ST,,nan,40.454803,-80.010515
NORTH AVE AT MONTEREY ST,,nan,40.454427,-80.012519
NORTH AVE AT MIDDLE ST FS,,nan,40.456692,-80.000324
NORTH AVE AT MIDDLE ST,,nan,40.456553,-80.000285
NORTH AVE AT LINCOLN AVE,,nan,40.481532,-79.974314
NORTH AVE AT KLOPFER ST,,nan,40.485136,-79.97296
ELLA ST AT FRIENDSHIP AVE FS,,nan,40.464467,-79.950631
ELIZA ST OPP FRANK ST,,nan,40.391929,-79.877393
ELIZA ST AT GLENCAIRN ST FS,,nan,40.388858,-79.875555
NOBLESTOWN RD OPP OBEY ST,,nan,40.437931,-80.049385
MANSFIELD BLVD OPP JEFFERSON,,nan,40.406104,-80.089906
LAKETON RD AT LINDBERG AVE,,nan,40.458322,-79.84635
