name,street_address,zip_code,latitude,longitude
Giant Eagle #068,5990 University Boulevard,15108,40.5217743173523,-80.2205626401866
Giant Eagle #37,5 Quaker Village Shopping Center,15056,40.559414,-80.203569
Giant Eagle #1691,400 Northtowne  Square,15044,40.6364706790034,-79.9422997344717
Giant Eagle #17,6320 Shakespeare St,15206,40.4586694165469,-79.920755192051
Giant Eagle #18,1671 Butler Plank Road,15116,40.5375454030348,-79.9649148718196
Giant Eagle #2,1800 McKees Rocks Rd,15136,40.4677890700157,-80.0976432288596
Giant Eagle #29,1356 Hoffman Boulevard,15122,40.3842655281108,-79.8681439041393
Giant Eagle #31,5260  Grove Road,15236,40.3573973996838,-80.0022768909744
Giant Eagle #35,1717 Cochran  Road,15220,40.3927229216368,-80.0647269863152
Giant Eagle #38,1901 Murray Avenue,15217,40.4356644808696,-79.9225606363348
Shop 'n Save #0212100,4548 Broadway  Boulevard,15146,40.389146494909,-79.7671915533704
Giant Eagle #60,4010 Monroeville Boulevard,15146,40.432094206355,-79.7726641316603
Giant Eagle #605 Elizabeth Township,800 McKeesport  Road,15037,40.2799239290416,-79.875698354338
Giant Eagle #61,2021 Wharton  Street,15203,40.4311319291128,-79.9766070844995
Giant Eagle #619,1705 Braddock Avenue,15218,40.427317,-79.890896
Giant Eagle #63,4250  Murray Ave,15217,40.422252855852,-79.9294231858365
Giant Eagle #6379,420 E Waterfront Dr,15120,40.4110092447386,-79.9084912857073
Giant Eagle #646,51 Walsh Road,15205,40.4405981739094,-80.0720081639852
Giant Eagle #65,4110 Brighton Road,15212,40.4892632674544,-80.0434660161438
Giant Eagle #69,9001 Frankstown  Road,15235,40.4626672982706,-79.8652581449567
Giant Eagle #695,200 Allegheny River Boulevard,15147,40.4992344638881,-79.8444725515873
Giant Eagle #74,1165 McKinney Lane #100,15220,40.4230005232593,-80.0350228161454
Giant Eagle #77,254 Yost  Boulevard,15221,40.4144911501518,-79.8552918228808
Giant Eagle #78,230 Rodi Road,15235,40.4617445773283,-79.8252122711155
Giant Eagle #91,318 Cedar Avenue,15212,40.4515012707367,-79.9996723779341
Giant Eagle / Market District Shadyside #40,5550 Centre Avenue,15232,40.4566054440019,-79.9343652788186
Kuhn's Market,745 Ingomar  Road,15127,40.581318,-80.055503
Giant Eagle / Market District South Hills #14,7000 Oxford  Drive,15102,40.3472222182917,-80.0465464537892
Kuhn's Market,700 Beulah Rd,15145,40.42616,-79.835056
Giant Eagle / Market District Waterworks #72,910 Freeport  Road,15238,40.4880818184585,-79.8943172227734
Sam's Club #6678,289 Mt Nebo Pointe Drive,15237,40.534182,-80.067947
Giant Eagle Express #5103,2611 Freeport Road,15238,40.5378348108938,-79.838817397384
Save A Lot / Wilkinsburg,725 Ross St,15221,40.442874,-79.884791
Giant Eagle Store #600,2001 Lincoln  Way,15131,40.3355093395296,-79.8040198034118
Leonard Labriola's Italian Store,112 Northgate Drive,15086,40.65050723,-80.07820545
Shop 'n Save,4647 Buttermilk Hollow Road,15122,40.36099215,-79.90653531
Gordon Food Service Store ,510 Clairton Blvd,15236,40.3338231198288,-79.9470969897752
Lamperts Deli Express,2010 Eden Park Boulevard,15132,40.34261995,-79.82914101
Gurung Brothers ,2950 Brownsville Road,15227,40.3814730252973,-79.9765425506129
Safrans Market,429 Walnut Street,15143,40.54103912,-80.18226221
Gordon Food Service,3620 Wm Penn Hwy,15146,40.43207844,-79.79961153
Kuhn's Market,2412 Ferguson  Road,15101,40.5549333517801,-79.9724557251409
Leonard Labriola's Italian Market,4039 Monroeville Boulevard,15146,40.43561275,-79.76893262
Kuhn's Market,4801 McKnight Road,15237,40.5263638955816,-80.0087942442622
Patel Brothers,312 Mall Plaza Boulevard,15146,40.433412,-79.78908
Kuhn's Market,661 Lincoln Ave,15202,40.4971622083202,-80.06027922446
Patsy's Market,483 Center Avenue,15147,40.50668646,-79.83973242
Kuhn's Market,1130 Highwood St,15212,40.4683946374744,-80.0266026129949
Leonard Labriola Foods,121 Hulton Road,15147,40.48454873,-79.82011275
Many More Asian Market,3050 Smallman Street,15201,40.45982545,-79.97256764
Kuhn's Market #4,3125 Banksville Road,15216,40.3998001269022,-80.0434513724498
Gordon Food Service Store,1 Urbano Way,15205,40.4573716,-80.16599362
Las Palmas,700 Brookline Boulevard,15226,40.3945831705757,-80.0216923070246
Lotus Noodle Co,1649 Penn Avenue,15222,40.4497663732215,-79.986426220449
Market on Broadway IGA / Las Palmas,1616 Broadway Avenue,15216,40.4101126324247,-80.024943742701
Murray Avenue Kosher,1912 Murray  Avenue,15217,40.4355414383475,-79.9231754772003
Oriental Market,4768 McKnight  Road,15237,40.51991327124,-80.0043708914935
Robert Wholey Co,1711 Penn Avenue,15222,40.4501010031256,-79.9858632975096
Sam's Club #4952,2000 Village Center Drive,15084,40.5658148226346,-79.8042349198677
Sam's Club #6575,249 Summit Park Drive,15275,40.4495538766619,-80.1779904349046
Sam's Club #6677,3621 Wm Penn Hwy,15146,40.4364851928196,-79.7995118358429
Sam's Club #6679,2251 Century  Drive,15122,40.3438997276761,-79.9490457924018
Save A Lot / Duquesne,9 Duquesne Plaza,15110,40.3745913445493,-79.8468335297461
Save A Lot / North Versailles,355 Lincoln Hwy,15137,40.3844829417729,-79.8212778114393
Shop 'n Save,450 56th Street,15201,40.4832210796356,-79.9486161713864
Shop 'n Save,2362 Golden Mile  Highway,15239,40.4624461319207,-79.7047653659144
Shop 'n Save,799 Castle Shannon  Boulevard,15234,40.3691959160416,-80.0286316622096
Shop 'n Save #0212404 Imperial,600 Market Place Drive,15071,40.4402026512141,-80.241229135522
